Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,190,4,Some Random Commen with Id 0
1,0,7,137,8,Some Random Commen with Id 1
2,0,7,142,6,Some Random Commen with Id 2
3,0,7,24,4,Some Random Commen with Id 3
4,0,7,151,8,Some Random Commen with Id 4
5,0,7,30,9,Some Random Commen with Id 5
6,1,8,140,7,Some Random Commen with Id 6
7,1,8,154,7,Some Random Commen with Id 7
8,1,8,34,5,Some Random Commen with Id 8
9,1,8,65,2,Some Random Commen with Id 9
10,1,8,122,8,Some Random Commen with Id 10
11,1,8,119,5,Some Random Commen with Id 11
12,1,8,166,0,Some Random Commen with Id 12
13,1,8,182,9,Some Random Commen with Id 13
14,3,5,192,4,Some Random Commen with Id 14
15,4,8,131,5,Some Random Commen with Id 15
16,4,8,116,0,Some Random Commen with Id 16
17,4,8,127,8,Some Random Commen with Id 17
18,4,8,10,4,Some Random Commen with Id 18
19,5,7,22,0,Some Random Commen with Id 19
20,5,7,197,2,Some Random Commen with Id 20
21,5,7,150,1,Some Random Commen with Id 21
22,5,7,196,8,Some Random Commen with Id 22
23,5,7,41,7,Some Random Commen with Id 23
24,6,4,48,6,Some Random Commen with Id 24
25,6,4,109,2,Some Random Commen with Id 25
26,6,4,23,5,Some Random Commen with Id 26
27,6,4,65,6,Some Random Commen with Id 27
28,6,4,106,3,Some Random Commen with Id 28
29,6,4,62,9,Some Random Commen with Id 29
30,6,4,36,0,Some Random Commen with Id 30
31,7,8,59,4,Some Random Commen with Id 31
32,7,8,46,8,Some Random Commen with Id 32
33,7,8,152,0,Some Random Commen with Id 33
34,7,8,165,3,Some Random Commen with Id 34
35,7,8,186,3,Some Random Commen with Id 35
36,8,4,50,3,Some Random Commen with Id 36
37,8,4,72,4,Some Random Commen with Id 37
38,8,4,73,2,Some Random Commen with Id 38
39,8,4,48,3,Some Random Commen with Id 39
40,8,4,29,7,Some Random Commen with Id 40
41,9,9,82,6,Some Random Commen with Id 41
42,9,9,187,0,Some Random Commen with Id 42
43,9,9,54,9,Some Random Commen with Id 43
44,9,9,73,5,Some Random Commen with Id 44
45,9,9,93,1,Some Random Commen with Id 45
46,10,9,139,1,Some Random Commen with Id 46
47,10,9,54,9,Some Random Commen with Id 47
48,10,9,88,1,Some Random Commen with Id 48
49,10,9,25,3,Some Random Commen with Id 49
50,10,9,117,3,Some Random Commen with Id 50
51,10,9,38,5,Some Random Commen with Id 51
52,10,9,181,7,Some Random Commen with Id 52
53,10,9,121,0,Some Random Commen with Id 53
54,11,8,100,3,Some Random Commen with Id 54
55,11,8,31,4,Some Random Commen with Id 55
56,11,8,24,0,Some Random Commen with Id 56
57,11,8,196,0,Some Random Commen with Id 57
58,11,8,113,5,Some Random Commen with Id 58
59,11,8,44,4,Some Random Commen with Id 59
60,11,8,25,0,Some Random Commen with Id 60
61,11,8,195,3,Some Random Commen with Id 61
62,11,8,92,7,Some Random Commen with Id 62
63,13,1,46,3,Some Random Commen with Id 63
64,13,1,186,8,Some Random Commen with Id 64
65,13,1,72,4,Some Random Commen with Id 65
66,14,0,183,2,Some Random Commen with Id 66
67,16,9,177,7,Some Random Commen with Id 67
68,16,9,122,2,Some Random Commen with Id 68
69,17,9,156,0,Some Random Commen with Id 69
70,17,9,114,8,Some Random Commen with Id 70
71,17,9,190,8,Some Random Commen with Id 71
